VarName,max_list,min_list
Dist,34,1
TransactionContent,3,1
LandArea_m2,4545.04,0
CityLandClass,4,1
LocateFloor,148,1
AllFloor,28,1
Type,7,1
MainUse,8,1
BuildingMaterial,13,1
BuildingArea_m2,1441.68,10.56
roomMount,45,0
HallMount,22,0
ToiletMount,22,0
Wall,2,1
ManagementUnit,2,1
ParkType,7,1
ParkArea_m2,3588.32,0
ParkPrice,2250000,0
LandMount,24,0
BuildingMount,20,0
ParkMount,10,0
finished_day,31,1
finished_month,12,1
finished_year,107,4
transaction_year,107,101
transaction_month,12,1
transaction_day,31,1
V1,35,1
V2,369,1
V3,586,1
V4,66,9
V5,749,1
V6,12,1
V7,643,23
V8,162,10
V9,211,1
Price,1.10E+07,1100000
